排名	书名	作者	题材	知名度	文笔剧情	入选理由	文件路径
1	天龙八部	金庸	经典武侠	10	10	金庸集大成之作，家国情怀与佛理，中文小说文笔标杆	武侠仙侠/古典仙侠/天龙八部.mobi
2	鹿鼎记	金庸	经典武侠	10	10	金庸封笔之作，反武侠的巅峰，语言炉火纯青	武侠仙侠/古典仙侠/鹿鼎记.mobi
3	射雕英雄传	金庸	经典武侠	10	10	“侠之大者”，结构人物皆典范	武侠仙侠/古典仙侠/射雕英雄传.mobi
4	笑傲江湖	金庸	经典武侠	10	10	权力寓言，令狐冲经典，叙事精妙	武侠仙侠/古典仙侠/笑傲江湖.mobi
5	神雕侠侣	金庸	经典武侠	10	9	至情之书，情感刻画深	武侠仙侠/古典仙侠/神雕侠侣.mobi
6	倚天屠龙记	金庸	经典武侠	10	9	群像宏大，张无忌成长史	武侠仙侠/古典仙侠/倚天屠龙记.mobi
7	诡秘之主	爱潜水的乌贼	玄幻/克苏鲁	10	10	现代网文天花板，世界观与文笔俱佳，海外爆火	玄幻奇幻/东方玄幻/《诡秘之主》插图版（含番外）.epub
8	庆余年	猫腻	历史架空	10	10	文笔剧情双绝，影视现象级，猫腻代表作	起点精选/起点爆款小说/025.庆余年.txt
9	凡人修仙传	忘语	仙侠	10	9	“凡人流”开山鼻祖，修仙题材巅峰	玄幻奇幻/东方玄幻/凡人修仙传.epub
10	诛仙	萧鼎	仙侠	10	9	“后金庸时代武侠圣经”，情感与文笔俱佳	Z未分类/仙侠/修真文明/《诛仙》作者：萧鼎.txt
11	遮天	辰东	东方玄幻	10	9	东方玄幻扛鼎之作，苍茫史诗感	玄幻奇幻/东方玄幻/[多看]《遮天》辰东 著 V1.2.epub
12	大唐双龙传	黄易	历史武侠	9	9	黄易武侠史诗，篇幅恢宏	玄幻奇幻/东方玄幻/大唐双龙传.mobi
13	雪中悍刀行	烽火戏诸侯	玄幻/武侠	9	9	文笔顶级，庙堂江湖并写	玄幻奇幻/东方玄幻/《雪中悍刀行》插图版（含番外）.epub
14	后宫·甄嬛传	流潋紫	宫斗	10	9	宫斗现象级，仿古文笔考究，影视封神	青春校园/后宫 甄嬛传(终结篇).mobi
15	亵渎	烟雨江南	西方奇幻	9	10	黑暗西幻神作，脑洞与文笔并存	起点精选/起点爆款小说/0007007.亵渎.txt
16	步步惊心	桐华	穿越言情	10	9	清穿开山级，影视爆款，情感细腻	青春校园/步步惊心.mobi
